CONTRAST,CORRELATION,ENERGY,Homogeneity,ENTROPY,SUM OF SQUARE,INVERSE DIFFERENCE MOMENT,SUM AVERAGE,SUM VARIANCE,SUM ENTROPY,DIFFERENCE VARIANCE,D.ENTROPY,INFO.CORR 1,INFO.CORR 2,OUTPUT
0.07722,0.962,0.2792,0.9639,1.6119,7.4606,0.9989,5.1365,16.4993,1.5619,0.0722,0.2592,-0.7852,0.9357,1
0.0477,0.9379,0.4366,0.9762,1.1256,3.7831,0.9993,3.7187,8.3871,1.0924,0.0477,0.1918,-0.7752,0.8715,1
0.0606,0.9119,0.479,0.9697,1.0866,3.7674,0.9991,3.7309,8.5309,1.0446,0.0606,0.2286,-0.711,0.8359,1
0.0743,0.9336,0.3522,0.964,1.3376,5.2736,0.9989,4.3735,11.7203,1.2818,0.0743,0.2627,-0.755,0.896,0
0.1179,0.894,0.3301,0.9543,1.3577,6.2573,0.9983,4.8047,14.4778,1.2876,0.1179,0.3129,-0.6938,0.8742,0
0.0837,0.9141,0.4155,0.9582,1.2667,4.8629,0.9987,4.2153,10.9039,1.2086,0.0837,0.2877,-0.709,0.8668,0
0.093,0.913,0.4932,0.9671,1.1011,7.3228,0.9987,5.2402,19.5998,1.0503,0.093,0.2483,-0.7181,0.8423,0
0.1127,0.9427,0.2989,0.606,1.5144,10.3596,0.9984,6.1525,25.9657,1.4467,0.1127,0.2899,-0.7512,0.9158,0
0.1179,0.894,0.3301,0.9543,1.3577,6.2573,0.9983,4.8047,14.4778,1.2876,0.1179,0.3129,-0.6938,0.8742,0
0.0948,0.9541,0.2363,0.9679,1.6617,8.4115,0.9987,5.4605,18.8707,1.6086,0.0948,0.2472,-0.8084,0.9462,0
0.0941,0.9513,0.2776,0.9698,1.521,9.5449,0.9987,5.8856,23.2525,1.4711,0.0941,0.2374,-0.8028,0.9328,0
0.075,0.9292,0.3493,0.9747,1.2585,5.8981,0.999,4.6641,13.8899,1.2223,0.075,0.2024,-0.802,0.9028,0
0.0744,0.9081,0.3736,0.9634,1.2194,5.6215,0.9989,4.6006,13.3441,1.1656,0.0744,0.2642,-0.7216,0.8647,0
0.1069,0.8891,0.361,0.9584,1.3109,5.2767,0.9985,4.4109,11.8102,1.2503,0.1069,0.2908,-0.7112,0.875,0
